num_arms,n_arm,d1,d2,d3,d4,period_blocks,p0,OR1,OR2,OR3,OR4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,3,timemachine,0.883
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,3,MAPprior,0.819
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,4,fix,0.728
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,4,sep,0.735
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,4,pool,0.997
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,4,timemachine,0.884
4,100,0,100,150,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,4,MAPprior,0.781
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,2,fix,0.738
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,2,sep,0.733
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,2,pool,0.955
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,2,timemachine,0.838
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,2,MAPprior,0.804
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,3,fix,0.761
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,3,sep,0.773
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,3,pool,0.994
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,3,timemachine,0.842
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,3,MAPprior,0.819
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,4,fix,0.754
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,4,sep,0.771
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,4,pool,0.996
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,4,timemachine,0.835
4,100,0,100,200,200,2,0.3,1.8,1.8,1.8,1.8,0.3,0.5,0.3,0.3,0.3,stepwise,0.1,DIFF,H1,4,MAPprior,0.811
