num_arms,n_arm,d1,d2,d3,period_blocks,p0,OR1,OR2,OR3,lambda0,lambda1,lambda2,lambda3,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,MAPprior,0.841
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,fix,0.783
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,sep,0.788
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,pool,0.99
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,timemachine,0.83
3,100,0,100,200,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,MAPprior,0.83
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,fix,0.783
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,sep,0.783
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,pool,0.939
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,timemachine,0.571
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,2,MAPprior,0.838
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,fix,0.801
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,sep,0.801
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,pool,0.993
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,timemachine,0.57
3,100,0,200,400,2,0.3,1.8,1.8,1.8,0.3,0.5,0.3,0.3,stepwise,0.1,DIFF,H1,3,MAPprior,0.857
